source,company,title,industry,location,experience,employment_type,salary,skills,deadline,url,description,crawled_at
사람인,(주)크레스콤,데이터 분석 인공지능 개발자 채용,IT·플랫폼·SaaS,경기 성남시,3,정규직·계약직,미공개,미확인,2026-07-09,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54134783,,2026-06-12 09:31
사람인,제이앤피에이치알컨설팅,(MNCs) 글로벌 이커머스 플랫폼 CX 운영 데이터 분석,헤드헌팅,서울 강남구,1,정규직,미공개,미확인,2026-06-26,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54147677,,2026-06-12 09:31
사람인,(주)에이치컨설팅그룹,민자 고속도로 운영기업 데이터 분석 및 리서치,헤드헌팅,경북 영천시,8,정규직,미공개,미확인,2026-07-10,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54151189,,2026-06-12 09:31
사람인,리뉴피플 주식회사,빅테크 데이터 분석 실장급 채용,IT·플랫폼·SaaS,서울 강남구,12,정규직,미공개,미확인,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54143011,,2026-06-12 09:31
사람인,(주)에이치알비즈코리아,"데이터 분석( SQL, Python) FPS게임/세계적게임사",미디어·콘텐츠,경기 성남시 분당구,3,정규직,미공개,"SQL, Python",2026-06-26,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54150911,,2026-06-12 09:31
사람인,알케이소프트,IT아웃소싱 한국지사 BA/PCM (Business Analyst) - 베트남,제조·모빌리티,서울 강남구,1,정규직·계약직,미공개,미확인,2026-07-11,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54146933,,2026-06-12 09:31
사람인,한국암웨이㈜,[부산/외국계] Associate Business Systems Analyst II,제조·모빌리티,부산 해운대구,2,정규직,미공개,미확인,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54144486,,2026-06-12 09:31
사람인,(주)희앤썬,[AC호텔바이메리어트서울강남]  Revenue Analyst 채용,기타,서울 강남구,1,정규직,미공개,미확인,2026-07-11,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54145926,,2026-06-12 09:31
사람인,네이버웹툰(유),[네이버웹툰] Product Data Analyst (경력),미디어·콘텐츠,경기 성남시 분당구,0,정규직,미공개,미확인,2026-06-28,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54148086,,2026-06-12 09:31
사람인,(주)스탠튼체이스코리아,"[외국계 의료기기회사] Sr. Analyst, Legal(15 month contracts)",헬스케어·바이오,서울 강남구,0,계약직,미공개,미확인,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54143050,,2026-06-12 09:31
잡코리아,보람상조개발㈜,[보람그룹] CRM 데이터분석(DA) 채용,미디어·콘텐츠,서울 중구,3,계약직(협의),"회사 내규에 따름
(면접 후 결정)","SQL, Tableau, Power BI, KPI, 전환율",2026-08-09,https://www.jobkorea.co.kr/Recruit/GI_Read/49346658,"






보람상조개발㈜는 1991년에 설립된 회사로 자본금 15억원, 매출액 947억, 사원수 300명 규모의 중견기업입니다. 서울 중구 세종대로 73 (서소문동, 태평로빌딩)에 위치하고 있으며, 장례 및 결혼 예식 서비스, 회갑, 돌 행사진행사업을 하고 있습니다.

포지션 및 자격요건






















데이터분석(DA)

( 0명 )

	

■ 주요 업무

1) CRM 데이터 분석 및 리포트 작성 (일, 주, 월, 분기,년간)

2) 인바운드/아웃바운드 상담 데이터 및 DB 성과 분석

3) DB 분석 및 운영 지원

4) 유입 경로(광고/마케팅/해지 고객 등)별 성과 분석

5) DB 세분화 및 운영 개선 지원

6) 상담 및 영업 성과 분석

7) 상담사별/캠페인별 전환율 분석

8) 성과 저해 요인 도출 및 개선 방향 제시

9) 데이터 기반 운영 지원

10) KPI 지표 관리 및 정기 리포트 작성

11) 데이터 기반 의사결정 지원

12) 유관 부서 협업

13) 영업/CS 조직과 협업하여 데이터 기반 개선안 도출

 

■ 자격 및 우대요건

[필수요건]

1) 데이터 분석 또는 관련 업무 경력 2~5년

2) 엑셀(필수), SQL 등 데이터 추출 및 분석 가능자

3) 숫자 기반으로 문제를 정의하고 개선 방향을 제시할 수 있는 분 

4) 데이터를 이해하기 쉽게 정리 및 커뮤니케이션 가능한 분




[우대요건]

1) CRM / 콜센터 / 아웃바운드 세일즈 데이터 분석 경험자

2) Tableau, Power BI 등 BI툴 사용 경험자

3) DB 기반 마케팅/운영 경험자

4) 유관 부서와 협업 경험이 있는 분

전형절차

ㆍ서류전형 > 1차면접 > 2차면접  > 최종합격

ㆍ면접일정은 추후 통보됩니다.




유의사항

ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다.


",2026-06-12 09:33
